Format Version,1.23,Take Name,Take 2023-03-21 11.52.33 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 11.52.33.914 A.M.,Capture Start Frame,8546461,Total Frames in Take,1907,Total Exported Frames,1907,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
167,1.391667,-179.963318,2.326952,-178.946777,-2194.259277,125.875938,13.999868
168,1.400000,-179.955063,2.313960,-178.938400,-2194.276367,125.894562,13.997874
169,1.408333,-179.951324,2.313896,-178.937302,-2194.275146,125.897469,13.992641
170,1.416667,-179.965256,2.326941,-178.947113,-2194.249512,125.895340,13.987657
171,1.425000,-179.969452,2.327127,-178.944229,-2194.245850,125.881927,13.995164
172,1.433333,-179.980606,2.334552,-178.966049,-2194.276123,125.855103,13.969072
173,1.441667,-179.962082,2.327087,-178.948837,-2194.256104,125.876549,13.996335
174,1.450000,-179.951492,2.315484,-178.939377,-2194.278564,125.897659,13.995577
175,1.458333,-179.958755,2.325367,-178.946854,-2194.250000,125.890625,13.993164
176,1.466667,-179.960754,2.324394,-178.942871,-2194.248779,125.878067,13.985136
177,1.475000,-179.960999,2.313231,-178.942291,-2194.279541,125.896004,13.986324
178,1.483333,-179.956467,2.330868,-178.946350,-2194.252441,125.875847,13.992128
179,1.491667,-179.965759,2.326804,-178.947617,-2194.253174,125.883133,13.998780
180,1.500000,-179.961639,2.325985,-178.946045,-2194.253418,125.878754,13.998013
181,1.508333,-179.969177,2.324926,-178.945023,-2194.248291,125.881599,13.995080
182,1.516667,-179.966309,2.323524,-178.945633,-2194.257568,125.873520,13.990682
183,1.525000,-179.956619,2.313411,-178.932693,-2194.280518,125.900551,13.996655
184,1.533333,-179.955780,2.315576,-178.940277,-2194.277344,125.885162,13.993007
185,1.541667,-179.960632,2.323548,-178.944427,-2194.257080,125.887589,13.995187
186,1.550000,-179.967133,2.325678,-178.945343,-2194.254395,125.881630,13.994298
187,1.558333,-179.972458,2.326067,-178.948593,-2194.253906,125.889969,13.994680
188,1.566667,-179.961456,2.329336,-178.950928,-2194.256348,125.888718,14.002751
189,1.575000,-179.951660,2.316412,-178.932770,-2194.279297,125.899849,14.003368
190,1.583333,-179.974228,2.332421,-178.961761,-2194.280029,125.863358,13.971363
191,1.591667,-179.968872,2.327613,-178.949722,-2194.259033,125.902069,14.005037
192,1.600000,-179.956253,2.312354,-178.941376,-2194.270508,125.909241,13.996781
193,1.608333,-179.962784,2.328004,-178.947418,-2194.253418,125.890984,13.997278
194,1.616667,-179.966232,2.324038,-178.946869,-2194.256348,125.891579,13.999660
195,1.625000,-179.960129,2.325273,-178.946960,-2194.255127,125.884308,14.000105
196,1.633333,-179.953674,2.312104,-178.931808,-2194.276367,125.897095,14.011766
197,1.641667,-179.950577,2.318466,-178.937119,-2194.278320,125.909164,14.005477
198,1.650000,-179.962311,2.326510,-178.945847,-2194.251221,125.890747,13.989855
199,1.658333,-179.968018,2.330651,-178.954529,-2194.251221,125.891418,13.996297
200,1.666667,-179.956970,2.329156,-178.945343,-2194.258545,125.887589,14.004053
201,1.675000,-179.963684,2.328446,-178.942490,-2194.258789,125.882179,14.004436
202,1.683333,-179.958344,2.324547,-178.945557,-2194.262939,125.879036,13.997331
203,1.691667,-179.962646,2.326946,-178.952805,-2194.257813,125.888779,13.998669
204,1.700000,-179.956757,2.312858,-178.936707,-2194.272217,125.905815,13.994365
205,1.708333,-179.967712,2.324174,-178.941376,-2194.256592,125.895012,13.997253
206,1.716667,-179.960281,2.327142,-178.940643,-2194.260742,125.883118,13.992976
