Format Version,1.23,Take Name,Take 2023-03-16 11.51.58 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 11.51.58.483 A.M.,Capture Start Frame,7031220,Total Frames in Take,2479,Total Exported Frames,2479,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
79,0.658333,,,,,,,,,,,,,1.325263,-0.277790,0.333552,-19.889956,101.646729,-20.758722
80,0.666667,,,,,,,,,,,,,1.324688,-0.276969,0.340020,-19.891773,101.655464,-20.757683
81,0.675000,,,,,,,,,,,,,1.331251,-0.284853,0.321754,-19.887014,101.661026,-20.761158
82,0.683333,,,,,,,,,,,,,1.328036,-0.272523,0.336595,-19.885632,101.655144,-20.760374
83,0.691667,,,,,,,,,,,,,1.317374,-0.282203,0.330075,-19.891260,101.663338,-20.764545
84,0.700000,,,,,,,,,,,,,1.319242,-0.279113,0.327918,-19.889055,101.665474,-20.769804
85,0.708333,,,,,,,,,,,,,1.383255,-0.246093,0.377303,-19.900923,101.596039,-20.689690
86,0.716667,,,,,,,,,,,,,1.317619,-0.280858,0.336197,-19.892069,101.662430,-20.773445
87,0.725000,,,,,,,,,,,,,1.385601,-0.241851,0.378795,-19.900106,101.590317,-20.687397
88,0.733333,,,,,,,,,,,,,1.321352,-0.276375,0.336630,-19.890396,101.660851,-20.762600
89,0.741667,,,,,,,,,,,,,1.304690,-0.283662,0.327891,-19.890707,101.665756,-20.771301
90,0.750000,,,,,,,,,,,,,1.306791,-0.278088,0.338149,-19.884920,101.682220,-20.776844
91,0.758333,,,,,,,,,,,,,1.299205,-0.277167,0.339878,-19.883738,101.681366,-20.784883
92,0.766667,,,,,,,,,,,,,1.308639,-0.285372,0.326217,-19.881454,101.657394,-20.779671
93,0.775000,,,,,,,,,,,,,1.325979,-0.284830,0.325911,-19.887087,101.645531,-20.755459
94,0.783333,,,,,,,,,,,,,1.308333,-0.279733,0.329181,-19.893967,101.675659,-20.780125
95,0.791667,,,,,,,,,,,,,1.312499,-0.288806,0.323578,-19.891224,101.664490,-20.768242
96,0.800000,,,,,,,,,,,,,1.314987,-0.277598,0.337461,-19.888552,101.655548,-20.774446
97,0.808333,,,,,,,,,,,,,1.312052,-0.277347,0.337140,-19.891338,101.660072,-20.770063
98,0.816667,,,,,,,,,,,,,1.306071,-0.282155,0.329767,-19.890306,101.661156,-20.767214
99,0.825000,,,,,,,,,,,,,1.384559,-0.242853,0.384338,-19.898954,101.593010,-20.682262
100,0.833333,,,,,,,,,,,,,1.319129,-0.285688,0.319662,-19.886362,101.659409,-20.769171
101,0.841667,,,,,,,,,,,,,1.378113,-0.238382,0.383605,-19.900990,101.593452,-20.694624
102,0.850000,,,,,,,,,,,,,1.310033,-0.280330,0.330893,-19.893702,101.655357,-20.770828
103,0.858333,,,,,,,,,,,,,1.331780,-0.284161,0.326204,-19.889303,101.671547,-20.765602
104,0.866667,,,,,,,,,,,,,1.330570,-0.289713,0.315450,-19.888283,101.659401,-20.761053
105,0.875000,,,,,,,,,,,,,1.355381,-0.235877,0.404304,-19.896864,101.600586,-20.703732
106,0.883333,,,,,,,,,,,,,1.287920,-0.282528,0.335103,-19.884321,101.687294,-20.792984
107,0.891667,,,,,,,,,,,,,1.311018,-0.285231,0.318043,-19.888756,101.664543,-20.778509
108,0.900000,,,,,,,,,,,,,1.285689,-0.270139,0.332202,-19.881678,101.681038,-20.812073
109,0.908333,,,,,,,,,,,,,1.299634,-0.282237,0.325851,-19.893198,101.651352,-20.777697
110,0.916667,,,,,,,,,,,,,1.312845,-0.283323,0.325479,-19.882471,101.649521,-20.767282
111,0.925000,,,,,,,,,,,,,1.309880,-0.290415,0.313260,-19.895651,101.672447,-20.782637
